id_terminal,id_cliente,segmento_cliente,setor_cliente,modelo,data_registro
92896635-6,6652752332829302,Varejistas,Automotivos,L300,2023-09-01
65875906-7,2135800401041459,Grandes contas,Padarias,LIO V3,2024-08-08
43311504-1,9816934060883561,Empreendedores,Mercados,LIO V3,2022-01-02
79630067-2,0260127961143519,Grandes contas,Padarias,L300,2022-07-19
50925836-8,1778528922680182,Grandes contas,Shoppings,L300,2025-11-27
74348569-2,3325848689993607,Empreendedores,Tecnologia,S920C,2024-03-17
32168387-9,6346157173203093,Empreendedores,Farmacias,ME60,2023-03-03
46897895-5,2689996269708386,Varejistas,Mercados,L300,2023-07-24
19022068-9,6149828246747468,Grandes contas,Tecnologia,SP930,2021-08-11
22078374-2,2095673332973239,Empreendedores,Mercados,ME60,2022-02-13
78550769-5,1291828518161255,Grandes contas,Automotivos,D195,2022-09-04
58571728-1,2060212886652683,Varejistas,Farmacias,S920C,2023-11-28
61885171-9,9753585238600304,Grandes contas,Padarias,S920C,2022-02-23
79869925-1,5129441492531649,Varejistas,Automotivos,L300,2022-02-05
14540382-7,4907938841368528,Varejistas,Padarias,D195,2021-05-13
12207378-8,9912347851961064,Grandes contas,Tecnologia,L300,2024-02-12
69057999-4,1820682048109305,Grandes contas,Automotivos,LIO V3,2022-02-20
15836858-9,1437769366343925,Empreendedores,Padarias,L400,2025-06-19
66977920-7,7978630505057397,Varejistas,Farmacias,ME60,2025-03-29
63942479-5,8309451548094047,Empreendedores,Farmacias,S920,2021-05-13
85042734-3,4933965049627322,Grandes contas,Restaurantes,ME60,2022-03-09
12431667-5,5216903922026980,Varejistas,Postos de Gasolina,SP930,2024-04-20
49565649-1,0667015145992016,Varejistas,Farmacias,D195,2022-01-25
63105535-7,0265647711588218,Grandes contas,Shoppings,S920,2021-08-31
30395679-3,1354741685573952,Empreendedores,Padarias,S920C,2025-08-12
87008862-3,9087884434481230,Grandes contas,Restaurantes,ME60,2023-10-28
70387538-1,2198369157376710,Empreendedores,Farmacias,S920,2023-05-04
39802773-3,4739862214051318,Empreendedores,Postos de Gasolina,LIO V3,2024-11-14
13085086-4,0370433331883845,Grandes contas,Padarias,D195,2024-12-25
69009321-8,7496599052702599,Varejistas,Farmacias,S920,2021-12-13
12047614-0,2216417582313348,Varejistas,Mercados,SP930,2021-06-28
49950093-8,5382944191479053,Empreendedores,Automotivos,L300,2023-02-18
86043270-1,5938967635367355,Empreendedores,Automotivos,LIO V3,2023-02-05
17801838-9,2512073465495005,Grandes contas,Padarias,SP930,2023-04-24
30891596-3,0181123993302559,Varejistas,Mercados,LIO V3,2024-08-06
17291038-6,2353693785477725,Grandes contas,Shoppings,L400,2024-04-28
10659287-7,8097453389062354,Grandes contas,Tecnologia,S920C,2025-11-07
47131767-6,5157919711121259,Grandes contas,Shoppings,ME60,2021-07-01
70928840-7,7743326831901302,Grandes contas,Padarias,SP930,2022-12-29
97310014-0,2053364525777547,Empreendedores,Tecnologia,D195,2022-09-07
34377790-5,5920246175202389,Empreendedores,Automotivos,LIO V3,2025-04-01
30272906-1,1839525252078821,Varejistas,Automotivos,D195,2022-03-28
70758125-1,2858258545513919,Varejistas,Automotivos,S920C,2021-12-13
66948837-0,1488810798334233,Varejistas,Restaurantes,L400,2023-03-22
17513283-2,8095739405980260,Empreendedores,Shoppings,S920,2023-02-02
11305758-2,4056829962914504,Varejistas,Shoppings,L300,2022-05-20
42925059-9,9371645810457346,Empreendedores,Farmacias,ME60,2022-03-30
20526520-3,6915671649328980,Varejistas,Mercados,L400,2025-07-21
66033448-4,8955465653170873,Empreendedores,Farmacias,LIO V3,2023-03-12
21940280-8,2086353654195180,Grandes contas,Tecnologia,D195,2025-04-01
39128328-3,4164231654413727,Grandes contas,Postos de Gasolina,L400,2023-09-20
83655063-0,5954508917768089,Varejistas,Postos de Gasolina,SP930,2021-04-06
61914077-9,6811939781459009,Grandes contas,Automotivos,S920,2025-12-04
97811204-2,1243453538115750,Empreendedores,Padarias,D195,2025-02-14
35147779-2,1426471068017703,Empreendedores,Farmacias,SP930,2025-10-11
54850787-0,6199530564184937,Varejistas,Padarias,S920C,2025-07-26
42341555-4,2448500728895927,Empreendedores,Padarias,LIO V3,2025-03-09
54774913-3,6307028672020095,Grandes contas,Restaurantes,S920C,2021-10-31
14384265-9,1367500942141052,Empreendedores,Padarias,L400,2023-05-27
65727047-1,8513313800498321,Empreendedores,Tecnologia,SP930,2022-01-24
40878052-5,6293151817882426,Grandes contas,Mercados,S920,2022-12-26
44310566-0,8472643933045969,Grandes contas,Restaurantes,S920C,2021-04-21
92989654-8,2354940128974325,Varejistas,Mercados,LIO V3,2022-11-17
31948303-4,8152787304862515,Grandes contas,Postos de Gasolina,ME60,2025-11-09
94000747-9,3447626393436262,Grandes contas,Restaurantes,SP930,2022-04-27
86846869-9,6652752332829302,Empreendedores,Postos de Gasolina,S920,2024-11-13
17513199-6,1144157281436116,Empreendedores,Automotivos,D195,2023-04-02
55305628-5,5546015851743280,Grandes contas,Restaurantes,SP930,2023-02-04
60782951-2,8660416448595922,Empreendedores,Padarias,ME60,2025-09-20
97285554-5,1394884882691311,Grandes contas,Padarias,L400,2025-11-27
28007249-2,1488814311150835,Empreendedores,Restaurantes,L400,2023-09-30
87843126-0,6677196666102563,Empreendedores,Mercados,LIO V3,2024-07-18
60904793-4,5242786801128059,Empreendedores,Restaurantes,L300,2021-10-10
34890651-0,4792542218834581,Grandes contas,Postos de Gasolina,L400,2022-06-22
60099438-6,7403374499987093,Varejistas,Automotivos,ME60,2025-10-10
53037622-2,6627501526974420,Empreendedores,Tecnologia,SP930,2023-11-11
77064398-3,0263558243017646,Varejistas,Farmacias,LIO V3,2023-09-06
65338281-9,9612190518812988,Empreendedores,Shoppings,L400,2024-09-09
43966025-0,3346533633057543,Grandes contas,Postos de Gasolina,ME60,2021-04-18
40963485-4,4975374057144695,Varejistas,Padarias,L400,2023-11-20
42747613-1,6409891039091203,Empreendedores,Postos de Gasolina,S920C,2023-06-27
45598351-7,7274231830617893,Grandes contas,Automotivos,L300,2025-03-16
34210268-0,4565118102203173,Empreendedores,Shoppings,LIO V3,2021-10-15
65180142-8,2054932966851612,Empreendedores,Tecnologia,L400,2025-09-26
94647376-6,5312040954377661,Grandes contas,Restaurantes,ME60,2021-05-29
30844067-4,3195085016579055,Empreendedores,Postos de Gasolina,SP930,2021-12-05
14687171-7,5537147859696915,Empreendedores,Mercados,D195,2023-12-10
94173034-6,8660416448595922,Empreendedores,Padarias,D195,2024-05-02
52954119-7,2036081641804460,Varejistas,Restaurantes,LIO V3,2022-03-04
27006374-3,4820700159416516,Empreendedores,Tecnologia,SP930,2021-08-09
53066848-3,2928422223105927,Empreendedores,Tecnologia,D195,2025-05-23
44366243-2,8896699727367746,Grandes contas,Farmacias,S920,2022-03-23
60273168-3,5437882603359101,Empreendedores,Farmacias,ME60,2023-12-09
56184665-6,4067582676259062,Varejistas,Automotivos,D195,2024-01-22
40429248-3,4668793030285327,Varejistas,Postos de Gasolina,ME60,2023-01-28
14570082-5,8611460361189260,Grandes contas,Mercados,D195,2023-11-19
58829253-5,6841013282339218,Varejistas,Padarias,ME60,2023-08-02
14951543-4,8839717059844514,Grandes contas,Postos de Gasolina,L300,2025-08-10
63029194-0,5478872874315274,Empreendedores,Padarias,LIO V3,2022-01-07
80266070-2,6055049221704861,Grandes contas,Shoppings,S920C,2024-07-14
91699111-9,6857467067516913,Empreendedores,Automotivos,SP930,2022-03-10
22882585-9,3434857133996276,Varejistas,Mercados,L400,2022-12-17
54926188-5,9476511861564099,Varejistas,Shoppings,D195,2024-04-25
69118005-6,0613638527789561,Empreendedores,Padarias,ME60,2022-06-28
45231120-1,5320895326389021,Varejistas,Padarias,L300,2022-07-27
97161477-2,6022356972521752,Varejistas,Padarias,S920,2024-09-16
84262386-7,2879508304405809,Empreendedores,Farmacias,ME60,2021-05-16
37457637-4,2118237931269789,Empreendedores,Mercados,L400,2023-04-08
12764866-4,9900696801867740,Empreendedores,Shoppings,S920C,2025-12-03
91838449-4,1665876036690967,Empreendedores,Postos de Gasolina,SP930,2025-11-28
29843056-8,6651364424936312,Grandes contas,Padarias,L400,2021-05-17
69078776-6,1339547940645315,Varejistas,Farmacias,ME60,2022-01-23
49822519-5,7924632037476775,Empreendedores,Mercados,L300,2022-04-27
29804555-0,5554654268368437,Grandes contas,Mercados,D195,2025-08-08
27900332-8,4869996988290457,Grandes contas,Automotivos,ME60,2025-05-06
65401870-3,8939698748694155,Grandes contas,Postos de Gasolina,ME60,2025-05-03
24679419-1,2463104379686800,Empreendedores,Automotivos,ME60,2022-10-31
71892559-4,2840359544294774,Varejistas,Farmacias,L400,2021-10-16
65824971-1,4926999699648997,Grandes contas,Tecnologia,D195,2025-02-10
85265952-7,5290509260001101,Grandes contas,Postos de Gasolina,S920C,2024-06-21
24930846-1,9363926495782329,Empreendedores,Restaurantes,L300,2024-01-08
30873661-7,3334303115876054,Grandes contas,Automotivos,D195,2025-11-13
18167678-6,9055107620918435,Varejistas,Farmacias,ME60,2024-03-24
87066647-5,5462202123720550,Varejistas,Postos de Gasolina,D195,2021-01-20
47971974-0,9284567972320024,Grandes contas,Automotivos,SP930,2025-01-11
13208554-6,9323800436475846,Grandes contas,Shoppings,L300,2022-06-27
52113293-9,9617215052053531,Grandes contas,Restaurantes,LIO V3,2024-04-10
62493989-1,8206678498436241,Empreendedores,Tecnologia,SP930,2025-08-18
12777998-9,4760948377402928,Varejistas,Postos de Gasolina,ME60,2021-09-04
73862843-3,1773454757494902,Varejistas,Farmacias,S920,2021-08-01
46470794-0,2788165803928272,Varejistas,Shoppings,SP930,2021-07-17
43889772-7,1904823571558686,Varejistas,Mercados,LIO V3,2023-09-26
44386595-5,1172264147569001,Empreendedores,Restaurantes,SP930,2022-05-09
37273286-1,0417282076238115,Empreendedores,Postos de Gasolina,SP930,2023-12-27
21409636-4,4150632405102658,Grandes contas,Farmacias,L300,2024-07-17
98152697-8,3546951003076205,Grandes contas,Tecnologia,ME60,2022-01-06
33004548-9,0358690170740392,Grandes contas,Tecnologia,D195,2024-02-18
75916903-9,2462095200461526,Varejistas,Mercados,S920C,2022-04-24
59472852-5,6736576615654527,Varejistas,Shoppings,SP930,2023-06-01
58822608-0,2313799818100962,Varejistas,Automotivos,SP930,2025-06-19
68585780-2,0317543802741485,Varejistas,Postos de Gasolina,ME60,2025-03-04
19824222-3,1220190725873393,Empreendedores,Automotivos,SP930,2021-06-20
57632141-3,9594636887258874,Empreendedores,Postos de Gasolina,SP930,2023-02-05
97096070-1,6651364424936312,Grandes contas,Mercados,S920C,2022-05-17
41446269-3,3285558095794758,Empreendedores,Padarias,D195,2021-01-12
91506018-7,7665586851276528,Varejistas,Mercados,L400,2024-10-21
75060028-9,2796637958187744,Empreendedores,Shoppings,ME60,2024-02-23
38414751-2,5966048736826911,Empreendedores,Farmacias,LIO V3,2022-04-21
83292056-5,4748679486989484,Varejistas,Padarias,L400,2024-08-28
23538227-6,8407033982147823,Varejistas,Postos de Gasolina,S920C,2023-09-23
22691278-7,8983314659116655,Empreendedores,Automotivos,ME60,2023-02-12
45917350-4,2850719612933213,Varejistas,Mercados,L400,2021-01-23
37462231-6,7254596063399129,Varejistas,Mercados,ME60,2021-05-21
10776656-2,5701652761368149,Varejistas,Padarias,S920C,2025-05-10
92326687-2,5627298069901627,Varejistas,Mercados,LIO V3,2025-06-16
97971854-0,5673446717762969,Empreendedores,Restaurantes,S920,2023-09-12
87115304-1,2146584044997278,Empreendedores,Shoppings,L400,2025-02-12
39259677-2,9008899114160091,Grandes contas,Automotivos,D195,2023-11-17
46476216-6,6125904729277423,Varejistas,Postos de Gasolina,LIO V3,2021-09-28
13756764-3,3136783777014363,Varejistas,Mercados,D195,2021-08-22
62537369-6,4078754181563268,Grandes contas,Shoppings,S920C,2022-07-13
66706653-6,0411761421524831,Varejistas,Restaurantes,L300,2025-06-07
88105918-7,2696084376855078,Empreendedores,Farmacias,ME60,2024-12-05
30289477-2,3061537012424462,Varejistas,Farmacias,ME60,2025-03-30
50825346-8,9655156419678963,Grandes contas,Mercados,S920,2025-06-07
19372830-4,3538148374755803,Grandes contas,Automotivos,L300,2022-01-18
21709677-7,0690872617607234,Empreendedores,Automotivos,D195,2022-03-29
17320599-7,2046537556464170,Empreendedores,Automotivos,L300,2021-07-09
60378012-6,9130981079649673,Empreendedores,Mercados,S920,2024-11-06
42274031-9,4413432756041776,Grandes contas,Automotivos,L300,2025-05-12
80785943-1,5932133480396522,Empreendedores,Tecnologia,S920,2023-01-05
98511951-8,0493665380274812,Grandes contas,Shoppings,L300,2024-01-25
40363029-6,4410079419324538,Empreendedores,Postos de Gasolina,ME60,2021-10-10
43160723-5,9363926495782329,Empreendedores,Padarias,ME60,2025-08-02
30477653-3,3692233854033699,Empreendedores,Tecnologia,D195,2025-04-06
41389041-1,1901933359379719,Empreendedores,Tecnologia,S920,2025-10-24
14453175-4,8741132579706734,Empreendedores,Mercados,ME60,2024-12-31
44113274-0,9516704505998226,Grandes contas,Shoppings,S920C,2025-05-07
88903040-5,7015502916815466,Varejistas,Automotivos,L400,2021-02-19
79678758-4,4960501667998407,Grandes contas,Postos de Gasolina,ME60,2024-08-20
53298009-3,3305912662015720,Empreendedores,Restaurantes,L400,2022-08-25
68752317-3,7307177613500788,Varejistas,Tecnologia,L300,2025-08-03
55916755-8,3880273042763628,Varejistas,Mercados,L300,2024-12-16
65231855-7,8404608432562168,Empreendedores,Shoppings,L400,2025-04-05
17690104-4,8626751199764534,Empreendedores,Restaurantes,D195,2024-12-31
52686567-1,4842294057202590,Empreendedores,Mercados,S920,2022-04-29
84972655-8,0263558243017646,Grandes contas,Farmacias,L300,2024-11-19
51937863-7,1922188220631864,Varejistas,Shoppings,L300,2021-07-19
67996754-9,8989596546634544,Varejistas,Automotivos,D195,2025-04-20
89847709-8,0653074505444713,Grandes contas,Shoppings,S920,2025-03-27
33906870-4,2207201970842874,Grandes contas,Restaurantes,S920,2022-02-09
11494536-0,5966048736826911,Varejistas,Padarias,S920C,2025-01-10
33567338-4,2849760396702436,Empreendedores,Postos de Gasolina,ME60,2023-04-12
37159949-3,2345506882691776,Varejistas,Shoppings,L300,2022-07-07
69193766-3,2255174192581476,Varejistas,Postos de Gasolina,S920,2024-12-03
38473591-2,2819022179789124,Empreendedores,Tecnologia,S920C,2022-02-18
87675137-2,6592342683441497,Grandes contas,Padarias,LIO V3,2021-02-17
83909342-4,1145788707152386,Grandes contas,Restaurantes,D195,2021-12-18
46279229-7,3473829973763116,Empreendedores,Shoppings,ME60,2022-08-18
74828923-0,3793766997681608,Grandes contas,Postos de Gasolina,L400,2025-04-06
94945584-7,4842294057202590,Empreendedores,Automotivos,SP930,2025-10-07
51631635-1,5380884267233990,Empreendedores,Shoppings,S920,2022-05-22
34164746-3,6880316647951279,Varejistas,Padarias,S920C,2024-03-02
23970985-0,0827231843222591,Grandes contas,Tecnologia,L400,2022-12-24
60973751-5,7844683414651113,Empreendedores,Mercados,S920,2025-11-02
87847034-7,5985642059304078,Empreendedores,Padarias,L300,2023-08-26
53648604-8,3255398358446177,Grandes contas,Postos de Gasolina,D195,2025-08-18
44560377-1,5656976487849622,Empreendedores,Shoppings,L400,2021-08-01
23439234-4,1218939127065076,Empreendedores,Mercados,S920C,2025-10-13
88207548-5,5207020426201971,Empreendedores,Tecnologia,S920C,2021-11-22
13156060-4,3439690453925287,Varejistas,Restaurantes,S920C,2025-09-29
53347216-3,6714858197015019,Grandes contas,Farmacias,SP930,2022-04-27
73562378-0,6596566764099683,Varejistas,Farmacias,L300,2021-07-19
90994675-0,3624835505429608,Varejistas,Restaurantes,S920,2023-02-25
73133953-8,4565118102203173,Grandes contas,Postos de Gasolina,D195,2024-08-05
17357031-3,0269331542306002,Grandes contas,Farmacias,LIO V3,2022-07-23
16309064-4,3835699971252019,Varejistas,Padarias,S920C,2023-12-30
86353968-6,9217790552866933,Empreendedores,Mercados,S920,2023-07-13
44362298-3,0356243958739592,Empreendedores,Tecnologia,L400,2022-11-28
49856452-4,1848947697357790,Grandes contas,Farmacias,S920C,2023-11-06
90462901-6,8182819793164772,Grandes contas,Postos de Gasolina,D195,2022-04-08
76952744-4,2927065379473834,Varejistas,Tecnologia,ME60,2024-07-01
68203606-0,7199829075515452,Empreendedores,Tecnologia,LIO V3,2021-01-09
86403553-6,3878293102707903,Varejistas,Shoppings,LIO V3,2025-07-25
26355739-0,4760948377402928,Grandes contas,Automotivos,D195,2023-08-30
92663590-4,2328120679740344,Varejistas,Padarias,SP930,2024-07-20
23411007-8,0578617063048913,Empreendedores,Restaurantes,S920,2024-08-29
86167516-3,4267351272455337,Empreendedores,Postos de Gasolina,SP930,2024-04-23
11541456-5,1429994814140138,Empreendedores,Postos de Gasolina,L400,2022-10-21
75818175-4,2673899756341085,Varejistas,Automotivos,LIO V3,2021-05-11
82410397-0,6622654016599530,Grandes contas,Padarias,ME60,2024-04-12
