id_chamado,id_terminal,id_cliente,tipo_chamado,motivo_chamado,data_abertura_chamado,data_fechamento_chamado
808974158,89234573-5,2626367850898977,MANUTENCAO,PROBLEMA COM CONEXAO,2025-03-18,2025-03-22
769763042,37571480-3,3484864708213986,MANUTENCAO,PROBLEMA COM CONEXAO,2025-06-25,2025-06-27
685336643,86468723-1,1511436786210781,MANUTENCAO,MAQUINA NAO LIGA,2023-09-11,2023-09-12
409854998,82871716-1,3607854833095872,SUPORTE,OUTROS,2025-11-07,2025-11-11
723548355,43673104-6,5048849150892446,SUPORTE,PROBLEMA COM TECLADO,2022-12-24,2022-12-27
243186368,75224158-5,4290018513279724,MANUTENCAO,OUTROS,2024-08-20,2024-08-23
229019496,26169254-9,3356890581080153,MANUTENCAO,PROBLEMA NA TELA,2023-05-20,2023-05-24
207254245,25682562-9,6265511047541212,SUPORTE,PROBLEMA COM CONEXAO,2025-10-14,2025-10-17
169566330,56213697-1,0146263838065787,MANUTENCAO,PROBLEMA COM TECLADO,2025-12-29,2025-12-31
269348441,59462975-4,1555301530304407,MANUTENCAO,PROBLEMA NA TELA,2025-07-22,2025-07-23
776525200,77252568-2,3368844431069872,SUPORTE,PROBLEMA COM TECLADO,2025-09-15,2025-09-18
575695827,65704535-1,9354646398970145,MANUTENCAO,PROBLEMA NA TELA,2025-09-23,2025-10-02
636305705,34271992-9,6292508177602991,MANUTENCAO,MAQUINA NAO LIGA,2024-05-07,2024-05-08
230898837,62651319-9,9900277291084507,SUPORTE,PROBLEMA NA TELA,2025-01-07,2025-01-13
555439121,76782059-0,9642585626149915,SUPORTE,PROBLEMA NA BATERIA,2023-04-20,2023-04-25
742973975,79007979-0,0828874587120753,MANUTENCAO,OUTROS,2023-06-30,2023-07-01
294090351,32760629-3,6486741637120631,MANUTENCAO,MAQUINA NAO LIGA,2025-09-29,2025-10-04
345480873,86167516-3,4267351272455337,MANUTENCAO,PROBLEMA COM TECLADO,2024-10-18,2024-10-21
713903600,11104601-4,5574696606065274,SUPORTE,OUTROS,2025-04-01,2025-04-04
644133415,30544162-4,8133170876014672,MANUTENCAO,MAQUINA NAO LIGA,2025-07-16,2025-07-29
971435371,13045941-3,3997718051371717,SUPORTE,PROBLEMA COM TECLADO,2023-05-03,2023-05-09
602483952,66984581-9,8965461253606400,MANUTENCAO,PROBLEMA NA BATERIA,2022-09-13,2022-09-14
245151554,81578869-8,3045319433750479,MANUTENCAO,PROBLEMA COM TECLADO,2023-03-14,2023-03-19
529150145,51401403-3,9063224815542034,MANUTENCAO,PROBLEMA NO LEITOR,2024-09-29,2024-09-30
756954565,87781486-0,5673446717762969,SUPORTE,OUTROS,2023-11-11,2023-11-12
214293651,95392172-2,1861515542340163,MANUTENCAO,PROBLEMA NA TELA,2022-09-27,2022-09-30
579484008,31861832-5,6811939781459009,MANUTENCAO,PROBLEMA COM TECLADO,2025-10-21,2025-10-28
817291676,73252068-3,5092711526105370,MANUTENCAO,PROBLEMA COM TECLADO,2025-03-07,2025-03-08
501415162,77257605-7,4728395167309532,SUPORTE,OUTROS,2024-05-04,2024-05-06
480912011,25229580-8,9613674994657967,MANUTENCAO,OUTROS,2025-11-19,2025-11-26
674182328,56646650-9,8003845762055543,MANUTENCAO,PROBLEMA NA BATERIA,2025-07-15,2025-07-16
440226365,13462647-1,9379237474074821,MANUTENCAO,OUTROS,2024-09-23,2024-09-26
776487694,84034055-9,3450295867603040,MANUTENCAO,PROBLEMA COM CONEXAO,2025-06-20,2025-06-22
776803678,70533728-5,2547807740649308,MANUTENCAO,PROBLEMA NO LEITOR,2025-08-24,2025-09-01
144106722,33878106-8,6781126691215353,MANUTENCAO,PROBLEMA COM CONEXAO,2024-05-04,2024-05-08
434633755,12836662-8,1126649719670683,SUPORTE,PROBLEMA COM TECLADO,2025-09-22,2025-09-24
886230371,78525356-4,9642585626149915,MANUTENCAO,PROBLEMA COM TECLADO,2024-02-15,2024-02-16
709382592,95674926-8,8660416448595922,MANUTENCAO,PROBLEMA COM TECLADO,2021-12-09,2021-12-23
289288449,27872163-0,1357790833506158,MANUTENCAO,PROBLEMA COM CONEXAO,2025-11-15,2025-11-18
187091776,56072417-3,6218945590670009,SUPORTE,PROBLEMA NA TELA,2023-09-19,2023-09-21
638791386,35431515-4,4352408240084271,MANUTENCAO,PROBLEMA NA BATERIA,2025-11-11,2025-11-15
706871153,38251047-9,7312343888048514,MANUTENCAO,PROBLEMA NA TELA,2025-09-04,2025-09-09
617265256,46797799-8,9425652906032020,MANUTENCAO,PROBLEMA COM CONEXAO,2025-12-24,2025-12-25
721694657,33021275-4,4907539989354492,SUPORTE,MAQUINA NAO LIGA,2025-11-12,2025-11-14
722758964,66977920-7,7978630505057397,SUPORTE,PROBLEMA NA BATERIA,2025-04-06,2025-04-07
493566437,66033448-4,8955465653170873,MANUTENCAO,PROBLEMA COM CONEXAO,2023-09-18,2023-09-20
849299885,85075031-8,1376815118567243,MANUTENCAO,PROBLEMA NA BATERIA,2025-08-10,2025-08-18
108342029,10443707-6,8125325121808226,MANUTENCAO,PROBLEMA COM TECLADO,2025-10-16,2025-10-23
128537425,95713144-0,7905719189866469,MANUTENCAO,OUTROS,2025-02-22,2025-02-27
140009103,64430519-3,7356582608252637,MANUTENCAO,PROBLEMA COM TECLADO,2025-06-26,2025-06-27
941993424,91533050-0,0676490922884987,SUPORTE,PROBLEMA NO LEITOR,2023-01-11,2023-01-14
829265446,81083359-5,1794802455985160,MANUTENCAO,OUTROS,2024-09-05,2024-09-07
765906687,85137680-7,3201295318500423,MANUTENCAO,PROBLEMA NA BATERIA,2025-01-19,2025-01-25
527455115,13722095-5,4410079419324538,SUPORTE,PROBLEMA NO LEITOR,2025-09-08,2025-09-10
208006891,21445367-9,4619942376769459,MANUTENCAO,PROBLEMA COM CONEXAO,2025-09-07,2025-09-08
206138724,99490181-4,0618091901581449,MANUTENCAO,PROBLEMA NA TELA,2025-04-28,2025-05-02
394730656,11602218-8,6801093609194908,SUPORTE,MAQUINA NAO LIGA,2025-09-11,2025-09-18
701456285,73031725-3,8467908701872600,MANUTENCAO,PROBLEMA NA BATERIA,2024-03-31,2024-04-07
632183707,48075729-6,1351823374989413,MANUTENCAO,PROBLEMA COM CONEXAO,2024-06-06,2024-06-14
590698383,74011670-4,4907938841368528,SUPORTE,PROBLEMA NA TELA,2025-12-18,2025-12-26
156093982,18904455-0,3720945167670636,MANUTENCAO,MAQUINA NAO LIGA,2025-08-27,2025-09-06
462866862,42527071-7,2107883127365485,MANUTENCAO,OUTROS,2023-06-21,2023-06-24
487055266,51462177-8,0513563974892500,MANUTENCAO,PROBLEMA NO LEITOR,2025-07-31,2025-08-02
998406201,18563976-7,8283859747765659,MANUTENCAO,PROBLEMA COM CONEXAO,2025-12-07,2025-12-08
882318487,24425868-2,3545036988843933,MANUTENCAO,MAQUINA NAO LIGA,2025-07-16,2025-07-23
893107466,24991620-6,1910090040476921,MANUTENCAO,PROBLEMA NO LEITOR,2025-10-21,2025-10-23
536277442,88486054-1,4225358414384249,SUPORTE,OUTROS,2025-11-12,2025-11-13
412967468,45740625-9,6440282532676992,MANUTENCAO,MAQUINA NAO LIGA,2024-10-03,2024-10-07
136448371,86974476-2,5931033700894234,MANUTENCAO,MAQUINA NAO LIGA,2022-03-17,2022-03-18
680689311,61927461-0,8243233302399344,MANUTENCAO,PROBLEMA COM TECLADO,2025-07-25,2025-07-26
310920011,77122428-7,6175518870179993,MANUTENCAO,OUTROS,2024-04-30,2024-05-03
650154864,85743248-9,7662702895171870,MANUTENCAO,OUTROS,2025-09-09,2025-09-15
353124372,50004437-7,4893252880957015,MANUTENCAO,PROBLEMA COM TECLADO,2023-10-06,2023-10-08
620194833,61649756-6,6934292913203301,MANUTENCAO,PROBLEMA COM CONEXAO,2025-11-26,2025-11-28
920415102,11736679-3,3146249127113072,MANUTENCAO,PROBLEMA NA TELA,2025-08-13,2025-08-18
700246642,47905171-0,0014407629143049,SUPORTE,PROBLEMA NA TELA,2026-01-01,2026-01-05
910970694,97243106-8,7387214895134332,SUPORTE,PROBLEMA NO LEITOR,2025-09-13,2025-09-14
342346826,41117825-6,7945772785324264,MANUTENCAO,MAQUINA NAO LIGA,2025-07-03,2025-07-12
136032274,61914077-9,6811939781459009,SUPORTE,PROBLEMA NA TELA,2025-12-30,2026-01-01
220484187,15109312-7,3743567027728715,MANUTENCAO,PROBLEMA NA BATERIA,2023-08-24,2023-08-25
284838039,33375878-4,0155799802841390,SUPORTE,PROBLEMA NA TELA,2025-02-28,2025-03-02
523872768,60782951-2,8660416448595922,SUPORTE,OUTROS,2025-11-13,2025-11-14
914435397,96745374-9,2064191061669100,MANUTENCAO,PROBLEMA NO LEITOR,2025-11-01,2025-11-20
237557981,72343681-1,0604805892583206,MANUTENCAO,PROBLEMA COM TECLADO,2025-05-19,2025-05-20
110741163,13195779-0,1371576605384444,MANUTENCAO,PROBLEMA COM CONEXAO,2024-08-05,2024-08-06
322621475,82799639-2,1444718939530969,MANUTENCAO,PROBLEMA NO LEITOR,2025-08-27,2025-08-29
558719920,96618051-8,5966018648769984,SUPORTE,PROBLEMA NA BATERIA,2023-02-02,2023-02-03
610521774,69462324-1,6203036625436172,SUPORTE,PROBLEMA NA BATERIA,2024-08-01,2024-08-04
528122059,92751260-8,5994264076089530,MANUTENCAO,OUTROS,2024-10-31,2024-11-10
295178708,50728138-6,5868339019817946,MANUTENCAO,PROBLEMA NA BATERIA,2025-09-17,2025-09-20
400574005,20990767-2,2959611110286712,MANUTENCAO,MAQUINA NAO LIGA,2023-12-25,2023-12-29
833801736,48657405-1,1665876036690967,MANUTENCAO,PROBLEMA NA BATERIA,2025-01-02,2025-01-04
202069207,10426936-9,4731217271551884,MANUTENCAO,PROBLEMA NO LEITOR,2023-04-07,2023-04-08
841727037,45371728-4,2766983451502528,MANUTENCAO,PROBLEMA COM CONEXAO,2024-07-09,2024-07-11
486502613,51623157-5,6752545991022901,MANUTENCAO,PROBLEMA NA TELA,2025-04-11,2025-04-17
629138371,97692956-9,4469317294763808,SUPORTE,OUTROS,2022-07-05,2022-07-13
932838634,22161563-1,3091436391025743,MANUTENCAO,PROBLEMA NA TELA,2025-05-05,2025-05-08
240276427,90587725-3,3847156756650518,MANUTENCAO,OUTROS,2025-02-20,2025-02-26
223238652,99912043-9,0941246051648389,MANUTENCAO,OUTROS,2023-10-07,2023-10-08
397437504,13450881-8,1277822102179821,MANUTENCAO,PROBLEMA COM TECLADO,2024-12-31,2025-01-02
627833092,82456345-7,1437769366343925,MANUTENCAO,PROBLEMA COM CONEXAO,2023-05-01,2023-05-02
738711223,28723094-8,6783055737138874,SUPORTE,MAQUINA NAO LIGA,2025-12-27,2026-01-03
407635077,50539225-8,5932572287032200,MANUTENCAO,MAQUINA NAO LIGA,2025-09-24,2025-09-26
490215877,74433570-9,3465472269848583,MANUTENCAO,PROBLEMA NA TELA,2024-03-31,2024-04-01
150432128,98827591-0,8144424842024350,MANUTENCAO,PROBLEMA COM CONEXAO,2024-02-20,2024-02-24
305084266,46487925-4,0513563974892500,SUPORTE,OUTROS,2025-12-09,2025-12-17
387235569,57408620-5,0225267711964215,SUPORTE,PROBLEMA COM CONEXAO,2024-01-20,2024-01-22
885657352,71401183-5,5667010651333872,MANUTENCAO,PROBLEMA COM TECLADO,2024-11-30,2024-12-01
571069335,38937334-7,9643385324725058,SUPORTE,PROBLEMA COM TECLADO,2023-09-15,2023-09-17
915984539,85551536-1,7970509754510526,MANUTENCAO,PROBLEMA COM CONEXAO,2021-10-28,2021-10-31
684284114,50071267-6,1272380468275670,MANUTENCAO,MAQUINA NAO LIGA,2022-04-15,2022-04-20
303470463,69193766-3,2255174192581476,SUPORTE,MAQUINA NAO LIGA,2025-08-05,2025-08-10
907819846,16273521-4,2063228012698044,SUPORTE,PROBLEMA COM CONEXAO,2024-01-21,2024-01-24
775847894,92271585-1,2107883127365485,MANUTENCAO,MAQUINA NAO LIGA,2022-03-02,2022-03-04
493986211,93999287-0,0061741364459476,MANUTENCAO,PROBLEMA COM TECLADO,2025-06-05,2025-06-10
500763227,54905960-3,9239231260432609,MANUTENCAO,PROBLEMA COM TECLADO,2025-07-07,2025-07-08
136746287,74336045-3,6767721903404384,MANUTENCAO,PROBLEMA COM CONEXAO,2025-08-16,2025-08-17
591835757,56506859-7,3325848689993607,SUPORTE,PROBLEMA COM CONEXAO,2024-11-16,2024-11-17
224251755,67142506-6,2909304376613662,MANUTENCAO,PROBLEMA COM CONEXAO,2025-06-06,2025-06-08
667868324,61886591-0,6755125427820797,MANUTENCAO,OUTROS,2024-02-15,2024-02-16
895678659,11414309-1,9743699055855759,SUPORTE,PROBLEMA NA BATERIA,2024-08-01,2024-08-07
319276147,78442251-3,9408429069690452,MANUTENCAO,PROBLEMA NA TELA,2022-05-04,2022-05-05
418067155,67090187-7,1732816291087392,SUPORTE,PROBLEMA NO LEITOR,2025-07-20,2025-07-21
984794230,58665951-7,0893199255027275,MANUTENCAO,PROBLEMA COM TECLADO,2025-07-02,2025-07-08
728254457,85493715-5,6665602336165580,SUPORTE,PROBLEMA COM TECLADO,2023-10-23,2023-10-27
648467156,10443707-6,8125325121808226,SUPORTE,PROBLEMA NA TELA,2024-03-20,2024-03-23
188496228,29787890-5,7516136968164535,MANUTENCAO,PROBLEMA NA BATERIA,2025-11-27,2025-12-01
727683307,77402824-1,5016731882617024,SUPORTE,PROBLEMA COM TECLADO,2025-06-26,2025-06-29
237095094,70062387-5,7970509754510526,MANUTENCAO,PROBLEMA NA BATERIA,2025-06-18,2025-06-25
790424498,84350616-2,5283372875679813,MANUTENCAO,PROBLEMA COM CONEXAO,2025-10-09,2025-10-10
564056841,87222636-6,1491507628397620,MANUTENCAO,PROBLEMA COM TECLADO,2024-07-04,2024-07-15
336462925,74930620-4,4488839237590972,SUPORTE,PROBLEMA NA TELA,2024-10-18,2024-10-24
759122929,47633060-0,3498529735615266,MANUTENCAO,PROBLEMA COM TECLADO,2025-12-29,2025-12-31
876776371,63887544-7,7344966866798994,MANUTENCAO,PROBLEMA COM CONEXAO,2024-07-18,2024-07-19
348944716,19737536-5,0502218169814134,SUPORTE,PROBLEMA NA BATERIA,2024-02-22,2024-02-25
477629146,22565008-0,7833150321985965,MANUTENCAO,PROBLEMA COM TECLADO,2025-09-25,2025-09-26
920534267,10637150-4,8840215573257375,SUPORTE,OUTROS,2025-04-07,2025-04-09
541475352,98689855-1,9490580778795654,MANUTENCAO,PROBLEMA NO LEITOR,2024-05-01,2024-05-09
269432053,19593337-9,9848704506917679,SUPORTE,PROBLEMA COM TECLADO,2021-08-16,2021-08-19
874299281,22898201-5,3337218856669541,MANUTENCAO,PROBLEMA COM CONEXAO,2025-12-15,2025-12-29
473029191,40823955-5,9254123872493797,SUPORTE,MAQUINA NAO LIGA,2025-10-18,2025-10-19
851508370,24180104-7,4384196622913167,MANUTENCAO,MAQUINA NAO LIGA,2025-11-21,2025-11-25
100699487,13462647-1,9379237474074821,MANUTENCAO,PROBLEMA NO LEITOR,2024-05-19,2024-05-21
492208447,65441233-7,3145843456631138,MANUTENCAO,PROBLEMA NA BATERIA,2025-12-26,2025-12-28
601260129,79218511-9,0858588382567262,MANUTENCAO,PROBLEMA COM TECLADO,2025-08-05,2025-08-09
402328832,66728023-1,2455462021354692,SUPORTE,PROBLEMA NA BATERIA,2025-11-19,2025-11-20
354817505,73984830-2,3818655078468509,MANUTENCAO,PROBLEMA NO LEITOR,2025-12-31,2026-01-01
778814227,56411474-3,7004093045418403,MANUTENCAO,OUTROS,2024-09-13,2024-09-15
218316726,43457050-1,4746042937178472,SUPORTE,MAQUINA NAO LIGA,2025-11-18,2025-11-20
470640360,57632141-3,9594636887258874,MANUTENCAO,PROBLEMA NA TELA,2025-02-09,2025-02-10
183653059,14474701-6,1034699673311677,MANUTENCAO,MAQUINA NAO LIGA,2025-09-10,2025-09-19
119342838,55406264-3,7216880053789318,MANUTENCAO,PROBLEMA COM TECLADO,2024-08-20,2024-08-22
425178007,21686682-0,0455623869222196,SUPORTE,PROBLEMA COM CONEXAO,2025-10-06,2025-10-11
979231273,68053270-6,6594818272913675,MANUTENCAO,PROBLEMA NA TELA,2025-03-20,2025-03-25
671748175,89612839-3,9078263337389877,MANUTENCAO,MAQUINA NAO LIGA,2025-10-10,2025-10-16
641769976,14073573-1,4956213721386589,MANUTENCAO,PROBLEMA NA BATERIA,2023-10-26,2023-10-27
621763725,68756586-1,3033793375636205,SUPORTE,PROBLEMA NA BATERIA,2025-03-13,2025-03-15
408919295,44142341-2,4596488319213424,MANUTENCAO,OUTROS,2023-07-08,2023-07-13
869881560,73060026-0,8802942409036788,SUPORTE,PROBLEMA NA TELA,2025-01-27,2025-01-29
343192753,38603141-7,0441040431566851,SUPORTE,PROBLEMA COM TECLADO,2025-04-01,2025-04-10
565339430,63031090-2,3859514346823948,MANUTENCAO,PROBLEMA NO LEITOR,2023-06-14,2023-06-15
622974083,80890993-8,3710307372607201,MANUTENCAO,PROBLEMA COM TECLADO,2025-04-16,2025-04-21
938278046,65231855-7,8404608432562168,MANUTENCAO,PROBLEMA NO LEITOR,2025-08-09,2025-08-11
865211045,28441367-9,9816934060883561,MANUTENCAO,OUTROS,2025-07-07,2025-07-13
220896154,98998273-5,5030587210552472,MANUTENCAO,PROBLEMA NA BATERIA,2025-11-18,2025-11-22
236883151,55174424-3,9046100792304660,MANUTENCAO,PROBLEMA NO LEITOR,2024-05-16,2024-05-17
128761084,75799729-0,9499944574441076,SUPORTE,PROBLEMA NO LEITOR,2025-12-02,2025-12-07
483512729,15120580-6,4600452128991511,MANUTENCAO,PROBLEMA COM TECLADO,2025-05-24,2025-05-25
531464913,27472941-2,6958050450509284,SUPORTE,PROBLEMA NA BATERIA,2025-05-27,2025-05-29
505831919,98616493-9,3334680072290349,MANUTENCAO,MAQUINA NAO LIGA,2025-05-26,2025-05-28
301389559,99571134-5,1164913342457988,MANUTENCAO,PROBLEMA COM TECLADO,2022-10-05,2022-10-09
665767282,98657462-4,7307177613500788,MANUTENCAO,PROBLEMA COM CONEXAO,2023-10-27,2023-10-28
726871316,80753585-9,5937661894370526,MANUTENCAO,PROBLEMA COM CONEXAO,2022-10-24,2022-10-27
558946758,70437744-2,2557701715772459,SUPORTE,OUTROS,2025-12-28,2026-01-01
917898300,96618051-8,5966018648769984,MANUTENCAO,PROBLEMA COM CONEXAO,2025-01-23,2025-01-24
137322902,47048308-3,9902355770272785,SUPORTE,PROBLEMA NA BATERIA,2025-12-29,2025-12-31
383230675,86621601-9,4551358727174306,SUPORTE,PROBLEMA NA TELA,2025-06-01,2025-06-04
368202523,34207580-6,4140703491074065,SUPORTE,OUTROS,2023-06-05,2023-06-11
751930812,95726000-5,9912347851961064,MANUTENCAO,PROBLEMA COM CONEXAO,2024-10-05,2024-10-06
157224833,20827848-7,5652715598354116,MANUTENCAO,OUTROS,2025-04-29,2025-05-02
932471345,76132106-8,2250142576270232,MANUTENCAO,PROBLEMA NA TELA,2025-11-08,2025-11-12
636549284,32580555-7,1806356512694486,MANUTENCAO,PROBLEMA NA TELA,2025-04-12,2025-04-17
655728220,20941991-2,8866905946998428,SUPORTE,MAQUINA NAO LIGA,2025-02-21,2025-02-23
963077991,81025622-5,8213356831723667,SUPORTE,PROBLEMA COM CONEXAO,2025-07-28,2025-08-01
767473147,49199591-9,9040907426088050,MANUTENCAO,PROBLEMA NA BATERIA,2024-01-28,2024-01-31
483619161,96825963-9,9670742153193625,MANUTENCAO,PROBLEMA COM TECLADO,2025-08-15,2025-08-22
655367397,82456345-7,1437769366343925,MANUTENCAO,PROBLEMA NA BATERIA,2025-10-01,2025-10-02
668879480,28236300-4,2630397524508640,MANUTENCAO,PROBLEMA NO LEITOR,2025-09-12,2025-09-14
952317380,68859813-8,5470060398107951,SUPORTE,PROBLEMA NA BATERIA,2025-08-26,2025-08-30
578473691,55941320-7,0664315890164928,MANUTENCAO,MAQUINA NAO LIGA,2023-03-04,2023-03-09
917595441,68433456-9,4890476078623510,SUPORTE,OUTROS,2025-09-16,2025-09-20
351554319,44386595-5,1172264147569001,SUPORTE,PROBLEMA NA TELA,2023-11-21,2023-11-23
751708347,62850260-1,7673820974619177,MANUTENCAO,MAQUINA NAO LIGA,2025-11-03,2025-11-05
464820662,99337440-1,7957039962637792,SUPORTE,PROBLEMA NO LEITOR,2023-04-19,2023-04-22
972860986,14692831-1,2435885379821433,MANUTENCAO,PROBLEMA NO LEITOR,2025-10-01,2025-10-02
711509621,86403553-6,3878293102707903,MANUTENCAO,PROBLEMA NA BATERIA,2025-10-19,2025-10-20
429192157,52248617-2,2457598339914038,MANUTENCAO,PROBLEMA NA BATERIA,2025-06-01,2025-06-10
190467730,33513181-8,8207151820377889,SUPORTE,PROBLEMA NO LEITOR,2024-03-10,2024-03-12
721137557,84757474-3,3146249127113072,MANUTENCAO,PROBLEMA NO LEITOR,2023-07-14,2023-07-16
419240351,15140778-2,2565046070014413,MANUTENCAO,PROBLEMA NO LEITOR,2025-08-06,2025-08-08
252908083,74154172-2,5239868000257872,MANUTENCAO,OUTROS,2024-06-10,2024-06-14
688306770,69771607-8,9335303138783056,MANUTENCAO,OUTROS,2023-06-19,2023-07-03
969270376,16985910-5,7046226567661825,SUPORTE,PROBLEMA NA TELA,2025-10-30,2025-11-06
420206722,68011786-6,8144424842024350,SUPORTE,PROBLEMA NO LEITOR,2025-02-02,2025-02-03
794386640,15452809-0,2230706594805316,MANUTENCAO,PROBLEMA COM CONEXAO,2025-09-26,2025-10-04
377947752,68203606-0,7199829075515452,MANUTENCAO,OUTROS,2022-08-02,2022-08-03
757515517,24151847-1,9541072728498247,MANUTENCAO,PROBLEMA NA BATERIA,2024-09-20,2024-09-22
737300760,34473033-9,2036930914015273,SUPORTE,PROBLEMA NA TELA,2025-11-17,2025-11-19
871590246,13690263-3,4168784991216558,SUPORTE,OUTROS,2023-10-30,2023-10-31
322429542,52686567-1,4842294057202590,MANUTENCAO,PROBLEMA COM TECLADO,2022-07-06,2022-07-14
854586767,21127392-5,4740837819190749,MANUTENCAO,PROBLEMA COM CONEXAO,2025-11-18,2025-11-20
509083565,52424129-1,6760083505830033,MANUTENCAO,PROBLEMA NA BATERIA,2025-10-03,2025-10-04
687532752,86043270-1,5938967635367355,MANUTENCAO,PROBLEMA NA TELA,2023-04-21,2023-04-22
470151563,91693646-0,4037676874042076,MANUTENCAO,PROBLEMA NA BATERIA,2023-05-11,2023-05-14
805857923,24882321-8,6850745106634362,MANUTENCAO,MAQUINA NAO LIGA,2022-01-26,2022-01-27
368058608,32901851-2,5932572287032200,MANUTENCAO,MAQUINA NAO LIGA,2025-12-21,2025-12-25
267710750,94443886-0,9412886691122321,SUPORTE,MAQUINA NAO LIGA,2024-05-09,2024-05-10
293137738,45371791-9,4746042937178472,SUPORTE,PROBLEMA NO LEITOR,2022-01-15,2022-01-22
575046096,95377369-9,9627519346389012,MANUTENCAO,PROBLEMA NA TELA,2025-12-30,2026-01-03
749413214,44858568-6,5665183784771988,SUPORTE,MAQUINA NAO LIGA,2025-09-05,2025-09-08
763184373,35446306-6,2036081641804460,SUPORTE,PROBLEMA NA BATERIA,2025-11-27,2025-11-28
247635061,50823438-0,4423647921499010,MANUTENCAO,PROBLEMA NO LEITOR,2023-10-27,2023-10-28
254331686,17742362-4,1145788707152386,SUPORTE,PROBLEMA COM CONEXAO,2025-10-19,2025-10-21
277985126,55535842-0,9635339055044817,MANUTENCAO,PROBLEMA COM TECLADO,2025-10-27,2025-10-29
421890699,35395354-1,6557922030044964,SUPORTE,PROBLEMA COM TECLADO,2024-12-28,2025-01-06
626847646,56053199-7,6511921457445203,MANUTENCAO,MAQUINA NAO LIGA,2024-05-08,2024-05-12
616710992,24565419-9,7893785954176090,SUPORTE,PROBLEMA NA TELA,2022-06-29,2022-07-01
585205168,28628500-3,1724447232290310,MANUTENCAO,OUTROS,2024-07-16,2024-07-25
168466791,15977606-4,9876829968722589,MANUTENCAO,PROBLEMA COM TECLADO,2021-07-15,2021-07-18
571545722,53185111-7,0385242762215596,MANUTENCAO,PROBLEMA NA TELA,2025-05-31,2025-06-04
